Index,ISLANDNAME,PLOT,Easting,Northing,OCODES,BRCR,URB_100Z,RUR_100Z,FOR0_100Z,FOR1_100Z,FOR2_100Z,SAV_100Z,SHR_100Z,CR_CL_2Z,CR_CL_3Z,Is_sizeZ,rd_up_100Z,rd_p_100Z
1,Arbutus,ARB01,467956,5394876,d,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.635999983,0.20211614,-0.202047601,-1.527173424,-0.861400343,-0.404845367,-0.56544841,-0.342724967
2,Brackman,BRA01,471657,5396128,d,0,-0.180973645,-0.413305792,-0.244224744,-0.25332239,-0.58329738,-0.46421402,-0.202047601,-1.249272583,-0.861400343,-0.404607815,-0.56544841,-0.342724967
3,Brackman,BRA02,471639,5396198,d,0,-0.180973645,-0.413305792,-0.244224744,-0.262082277,0.217828418,-0.46421402,-0.202047601,-0.699411851,-0.861400343,-0.404607815,-0.56544841,-0.342724967
4,Brackman,BRA03,471624,5396250,d,0,-0.180973645,-0.413305792,-0.244224744,-0.544698544,0.911497238,-0.311056088,-0.202047601,-0.367731032,-0.861400343,-0.404607815,-0.56544841,-0.342724967
5,Cabbage,CAB01,493649,5404946,b,0,-0.180973645,-0.413305792,-0.244224744,-0.907150931,0.566182323,-0.46421402,2.274541451,-0.813916482,-0.150285422,-0.404706482,-0.56544841,-0.342724967
6,Cabbage,CAB02,493558,5405074,c,0,-0.180973645,-0.413305792,-0.244224744,-0.62352187,0.308215559,-0.424641715,4.101098004,-0.766263006,-0.78153076,-0.404706482,-0.56544841,-0.342724967
7,Coal,COL01,471795,5392446,d,0,-0.180973645,0.884766677,-0.244224744,0.00467198,-0.635999983,1.089072153,-0.202047601,-0.385049309,-0.861400343,-0.400064795,-0.56544841,-0.342724967
8,Coal,COL02,471579,5392437,d,0,-0.180973645,-0.264291555,-0.244224744,1.145865881,-0.635999983,0.231931427,-0.202047601,0.56192408,0.236339227,-0.400064795,-0.397604205,-0.342724967
9,Coal,COL03,471787,5392196,d,0,-0.180973645,0.825121618,-0.244224744,0.650380535,-0.635999983,-0.46421402,0.267815286,0.09091468,1.804649141,-0.400064795,-0.56544841,-0.342724967
10,Coal,COL04,471951,5392130,d,0,-0.180973645,-0.283177517,-0.244224744,1.468210612,-0.635999983,-0.46421402,-0.202047601,1.72780006,-0.485331484,-0.400064795,-0.56544841,-0.342724967
11,Coal,COL05,471958,5392297,d,1,-0.180973645,-0.257210186,-0.244224744,1.451036992,-0.635999983,-0.46421402,-0.202047601,1.760075426,-0.666062763,-0.400064795,-0.56544841,-0.342724967
12,Coal,COL06,471998,5392013,d,1,-0.180973645,-0.23132002,-0.244224744,1.236536358,-0.635999983,-0.46421402,-0.202047601,0.395689234,-0.442090008,-0.400064795,-0.56544841,-0.342724967
13,Coal,COL07,472228,5392077,d,0,-0.180973645,2.892721467,-0.244224744,-0.659901753,-0.635999983,-0.46421402,-0.202047601,-1.153034612,-0.761739009,-0.400064795,-0.33152614,-0.342724967
14,Coal,COL08,472423,5392131,d,0,-0.180973645,3.469835107,-0.244224744,-1.013014826,-0.635999983,-0.46421402,-0.202047601,-1.526300999,-0.861400343,-0.400064795,1.234653041,-0.342724967
15,Coal,COL09,472700,5392287,d,0,-0.180973645,-0.413305792,-0.244224744,1.058035546,-0.635999983,-0.46421402,-0.202047601,0.655323416,-0.649081339,-0.400064795,-0.56544841,-0.342724967
16,Coal,COL10,472718,5392497,d,1,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,1.398161408,0.394488341,-0.400064795,-0.56544841,-0.342724967
17,Coal,COL11,472334,5392715,d,0,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,1.135847017,1.08211087,-0.400064795,-0.56544841,-0.342724967
18,Coal,COL12,472075,5392276,d,0,-0.180973645,0.828445363,-0.244224744,0.733276597,-0.635999983,-0.46421402,-0.202047601,-0.038937677,-0.861400343,-0.400064795,-0.56544841,-0.342724967
19,Coal,COL13,472111,5392221,d,0,-0.180973645,1.913006952,-0.244224744,0.016256332,-0.635999983,-0.46421402,-0.202047601,-1.097089848,-0.765249072,-0.400064795,-0.56544841,-0.342724967
20,Coal,COL14,472270,5392662,d,0,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,1.36756904,0.474682193,-0.400064795,-0.56544841,-0.342724967
21,Coal,COL15,472235,5392859,d,0,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,0.723811994,2.162206257,-0.400064795,-0.56544841,-0.342724967
22,Coal,COL16,472119,5392912,d,0,-0.180973645,-0.413305792,-0.244224744,1.463246198,-0.635999983,-0.259735695,-0.202047601,1.320304032,0.381435116,-0.400064795,0.54340184,-0.342724967
23,Coal,COL17,471860,5393042,d,0,-0.180973645,-0.413305792,-0.244224744,0.443772142,-0.635999983,1.378371967,-0.202047601,1.136021719,-0.285823926,-0.400064795,1.501211154,-0.342724967
24,Coal,COL18,471630,5393114,d,0,-0.180973645,-0.413305792,-0.244224744,-0.912800962,-0.635999983,3.676143065,-0.202047601,0.445891621,-0.73967738,-0.400064795,0.927326063,-0.342724967
25,Coal,COL19,471572,5393086,d,0,-0.180973645,-0.413305792,-0.244224744,-1.008029308,-0.635999983,3.37928315,-0.202047601,0.30773604,-0.860342204,-0.400064795,0.253763714,-0.342724967
26,Coal,COL20,471893,5392816,d,0,-0.180973645,-0.413305792,-0.244224744,0.088467819,-0.635999983,1.372308732,-0.202047601,0.732710941,0.036615491,-0.400064795,-0.56544841,-0.342724967
27,D'Arcy,DAR01,479850,5379487,b,0,-0.180973645,-0.413305792,-0.074678053,-0.38765599,0.59528305,0.361392957,0.172891468,-0.501698107,-0.747553689,-0.401908053,-0.56544841,-0.342724967
28,D'Arcy,DAR02,479772,5379573,c,0,-0.180973645,-0.413305792,-0.001765932,-0.729406295,1.29633791,-0.46421402,-0.202047601,0.229902537,-0.558610454,-0.401908053,-0.56544841,-0.342724967
29,D'Arcy,DAR03,479720,5379517,b,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,2.653723441,-0.46421402,-0.202047601,1.432866324,-0.532964806,-0.401908053,-0.56544841,-0.342724967
30,D'Arcy,DAR04,479623,5379520,c,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,2.670216625,-0.46421402,-0.202047601,1.152821316,0.391478903,-0.401908053,-0.56544841,-0.342724967
31,D'Arcy,DAR05,479550,5379445,b,1,-0.180973645,-0.413305792,-0.244224744,-1.013014826,2.670216625,-0.46421402,-0.202047601,0.893769835,1.183348034,-0.401908053,-0.56544841,-0.342724967
32,D'Arcy,DAR06,479464,5379395,c,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,2.670216625,-0.46421402,-0.202047601,0.712689667,2.160533714,-0.401908053,-0.56544841,-0.342724967
33,D'Arcy,DAR07,479509,5379288,b,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,2.670216625,-0.46421402,-0.202047601,0.445294814,2.892302257,-0.401908053,-0.56544841,-0.342724967
34,D'Arcy,DAR08,479372,5379295,c,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,2.670216625,-0.46421402,-0.202047601,1.210682375,0.885939863,-0.401908053,-0.56544841,-0.342724967
35,D'Arcy,DAR09,479281,5379372,b,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,2.670216625,-0.46421402,-0.202047601,1.148438576,1.04910376,-0.401908053,-0.56544841,-0.342724967
36,D'Arcy,DAR10,479165,5379482,c,0,-0.180973645,-0.413305792,-0.244224744,-0.138439785,1.54390936,-0.46421402,-0.202047601,0.453234528,1.606905148,-0.401908053,-0.56544841,-0.342724967
37,D'Arcy,DAR11,479098,5379377,b,1,-0.180973645,-0.413305792,-0.244224744,-0.94534601,2.583070439,-0.46421402,-0.202047601,0.754825383,1.737022112,-0.401908053,-0.56544841,-0.342724967
38,Dock (1),DCE04,473677,5391022,b,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.635999983,0.933669452,-0.202047601,-1.527173424,-0.861400343,-0.404822967,-0.56544841,-0.342724967
46,Dock (2),DCW06,473634,5390936,b,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.635999983,0.808601023,-0.202047601,-1.527173424,-0.861400343,-0.40482832,-0.56544841,-0.342724967
54,Dock (3),DOC01,473240,5391043,d,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.635999983,0.09533858,-0.202047601,-1.527173424,-0.861400343,-0.404845435,-0.56544841,-0.342724967
55,Domville,DOM01,476834,5390402,d,1,-0.180973645,-0.363556174,-0.244224744,-1.013014826,-0.635999983,0.807106323,-0.202047601,-1.527173424,-0.80732432,-0.403814443,-0.56544841,-0.342724967
56,Channel North,ECH01,472016,5405424,d,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.635999983,0.478613999,-0.202047601,-1.527173424,-0.861400343,-0.40484318,-0.56544841,-0.342724967
57,Channel North,ECH02,471944,5405474,d,0,-0.180973645,-0.413305792,-0.244224744,-1.013014826,-0.635999983,0.700949412,-0.202047601,-1.527173424,-0.861400343,-0.404833454,-0.56544841,-0.342724967
58,Galiano,GAL01,473412,5417014,c,0,-0.180973645,-0.413305792,3.200915504,0.472648788,-0.635999983,-0.46421402,-0.202047601,0.02250857,0.732122861,-0.213260986,1.111943991,-0.342724967
59,Galiano,GAL02,464103,5421220,c,0,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,-1.209385205,1.059338126,-0.213260986,4.711982581,-0.342724967
60,Galiano,GAL03,464351,5421244,c,0,-0.180973645,-0.413305792,-0.244224744,0.98577567,0.096106741,-0.46421402,-0.202047601,0.221788121,1.457718927,-0.213260986,2.85823769,-0.342724967
61,Galiano,GAL04,464575,5421262,c,0,-0.180973645,-0.413305792,-0.244224744,-0.508947823,1.692519874,-0.46421402,1.206574873,0.314069799,1.447535761,-0.213260986,1.539864162,-0.342724967
62,Galiano,GAL05,464851,5421229,c,0,-0.180973645,-0.413305792,-0.244224744,-0.898013309,2.362848839,-0.46421402,0.480753824,1.163124389,-0.010693563,-0.213260986,1.531184623,-0.342724967
63,Galiano,GAL06,465161,5421224,c,0,-0.180973645,-0.413305792,-0.244224744,1.015793823,0.057448349,-0.46421402,-0.202047601,-0.751470854,2.778563692,-0.213260986,1.873477756,-0.342724967
64,Galiano,GAL07,465461,5421166,c,0,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,-1.356875945,5.956214851,-0.213260986,3.548933027,-0.342724967
65,Galiano,GAL08,465753,5421177,c,0,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,0.599830056,0.79874864,-0.213260986,1.489535965,-0.342724967
66,Galiano,GAL09,463900,5421278,c,0,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,-1.296487676,0.757942022,-0.213260986,1.52318454,-0.342724967
67,Galiano,GAL10,463715,5421489,c,0,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,0.129797251,0.737220133,-0.213260986,2.770076845,-0.342724967
68,Galiano,GAL11,463496,5421691,c,0,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,0.890905158,0.893440703,-0.213260986,3.057192227,-0.342724967
69,Galiano,GAL12,463230,5421831,c,0,-0.180973645,-0.413305792,-0.244224744,1.106094515,-0.385184845,-0.46421402,1.197204714,-0.169009225,-0.73967738,-0.213260986,-0.56544841,1.546231254
70,Galiano,GAL13,464063,5421340,c,0,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,-1.288309239,0.365654053,-0.213260986,1.520414803,-0.342724967
71,Galiano,GAL14,464082,5421579,c,0,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,0.226118775,1.018457551,-0.213260986,1.509066386,-0.342724967
72,Galiano,GAL15,474278,5414562,b,0,-0.180973645,3.469835107,-0.244224744,-1.013014826,-0.635999983,-0.46421402,-0.202047601,-1.148362149,-0.683621613,-0.213260986,-0.56544841,1.558180233
73,Galiano,GAL16,474324,5414444,b,0,-0.180973645,3.469835107,-0.244224744,-1.013014826,-0.635999983,-0.46421402,-0.202047601,-1.527173424,-0.861400343,-0.213260986,-0.56544841,1.713813249
74,Galiano,GAL17,474265,5414132,b,0,-0.180973645,3.000678406,-0.244224744,-0.702819867,-0.635999983,-0.46421402,-0.202047601,-1.359321772,0.06407306,-0.213260986,-0.56544841,1.559194253
75,Galiano,GAL18,474281,5413996,b,0,-0.180973645,2.580639358,-0.244224744,-0.42510982,-0.635999983,-0.46421402,-0.202047601,-1.363925872,0.056131328,-0.213260986,-0.56544841,1.533488752
76,Galiano,GAL19,470437,5416180,b,0,-0.180973645,-0.413305792,-0.244224744,1.046774582,-0.635999983,-0.46421402,-0.202047601,0.05844291,-0.566660275,-0.213260986,1.454704858,-0.342724967
77,Galiano,GAL20,470206,5416100,b,0,-0.180973645,-0.413305792,-0.244224744,0.163578217,-0.635999983,-0.053903898,-0.202047601,-0.07923631,-0.844108873,-0.213260986,0.770989264,-0.342724967
78,Galiano,GAL21,470299,5415900,b,1,-0.180973645,-0.413305792,-0.244224744,0.460178012,-0.635999983,-0.46421402,-0.202047601,0.040188187,-0.49022111,-0.213260986,-0.56544841,-0.342724967
