BRCR,RUR_100Z,CR_CL_2Z,rd_up_100Z
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.249272583,-0.56544841
0,-0.413305792,-0.699411851,-0.56544841
0,-0.413305792,-0.367731032,-0.56544841
0,-0.413305792,-0.813916482,-0.56544841
0,-0.413305792,-0.766263006,-0.56544841
0,0.884766677,-0.385049309,-0.56544841
0,-0.264291555,0.56192408,-0.397604205
0,0.825121618,0.09091468,-0.56544841
0,-0.283177517,1.72780006,-0.56544841
1,-0.257210186,1.760075426,-0.56544841
1,-0.23132002,0.395689234,-0.56544841
0,2.892721467,-1.153034612,-0.33152614
0,3.469835107,-1.526300999,1.234653041
0,-0.413305792,0.655323416,-0.56544841
1,-0.413305792,1.398161408,-0.56544841
0,-0.413305792,1.135847017,-0.56544841
0,0.828445363,-0.038937677,-0.56544841
0,1.913006952,-1.097089848,-0.56544841
0,-0.413305792,1.36756904,-0.56544841
0,-0.413305792,0.723811994,-0.56544841
0,-0.413305792,1.320304032,0.54340184
0,-0.413305792,1.136021719,1.501211154
0,-0.413305792,0.445891621,0.927326063
0,-0.413305792,0.30773604,0.253763714
0,-0.413305792,0.732710941,-0.56544841
0,-0.413305792,-0.501698107,-0.56544841
0,-0.413305792,0.229902537,-0.56544841
0,-0.413305792,1.432866324,-0.56544841
0,-0.413305792,1.152821316,-0.56544841
1,-0.413305792,0.893769835,-0.56544841
0,-0.413305792,0.712689667,-0.56544841
0,-0.413305792,0.445294814,-0.56544841
0,-0.413305792,1.210682375,-0.56544841
0,-0.413305792,1.148438576,-0.56544841
0,-0.413305792,0.453234528,-0.56544841
1,-0.413305792,0.754825383,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
1,-0.363556174,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,0.02250857,1.111943991
0,-0.413305792,-1.209385205,4.711982581
0,-0.413305792,0.221788121,2.85823769
0,-0.413305792,0.314069799,1.539864162
0,-0.413305792,1.163124389,1.531184623
0,-0.413305792,-0.751470854,1.873477756
0,-0.413305792,-1.356875945,3.548933027
0,-0.413305792,0.599830056,1.489535965
0,-0.413305792,-1.296487676,1.52318454
0,-0.413305792,0.129797251,2.770076845
0,-0.413305792,0.890905158,3.057192227
0,-0.413305792,-0.169009225,-0.56544841
0,-0.413305792,-1.288309239,1.520414803
0,-0.413305792,0.226118775,1.509066386
0,3.469835107,-1.148362149,-0.56544841
0,3.469835107,-1.527173424,-0.56544841
0,3.000678406,-1.359321772,-0.56544841
0,2.580639358,-1.363925872,-0.56544841
0,-0.413305792,0.05844291,1.454704858
0,-0.413305792,-0.07923631,0.770989264
1,-0.413305792,0.040188187,-0.56544841
5,-0.413305792,-0.460133156,-0.56544841
2,-0.413305792,-0.112992844,-0.56544841
3,-0.413305792,0.761295865,-0.56544841
0,-0.413305792,0.740127634,0.325698998
1,-0.413305792,0.577030913,-0.56544841
2,-0.413305792,1.624610906,-0.56544841
0,-0.413305792,0.139312538,-0.56544841
0,-0.413305792,-0.075382016,-0.56544841
1,-0.413305792,1.251966283,-0.56544841
0,-0.413305792,0.745624777,-0.56544841
0,-0.32153374,-1.527173424,-0.56544841
0,-0.413305792,-0.578344505,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-1.527173424,-0.56544841
0,-0.413305792,-0.401527715,-0.56544841
