species,crown_class,age,dbh,height,volume
3,3,140,14.9,11.9,0.0651
3,3,148,20,17.7,0.2009
3,3,120,19,17.1,0.1761
3,3,113,23.3,23.2,0.378
3,3,127,15.8,15.5,0.1427
3,3,88,22.9,24.4,0.4107
3,3,94,13.3,11.6,0.0553
3,3,121,14.6,12.2,0.0652
3,3,208,23.4,17.7,0.3207
3,2,203,26.7,25.6,0.5652
3,3,321,21.1,18.9,0.2753
3,3,216,22.1,17.1,0.2331
3,4,214,16,14.6,0.114
3,3,198,24.5,21.9,0.4053
3,4,179,16.7,14.9,0.158
3,4,187,19.9,17.1,0.2203
3,4,178,17.2,12.5,0.105
3,4,193,15.8,14.6,0.0987
3,3,172,18.5,18.6,0.2085
3,4,96,13.2,14.3,0.0679
3,4,166,14.5,10.7,0.0629
3,2,138,25.6,27.4,0.5394
3,4,244,19.3,21.9,0.2221
3,4,153,13.1,17.1,0.0522
3,3,155,28,29.9,0.6794
3,4,164,14.2,14.6,0.0682
3,4,166,27.1,25.6,0.5821
3,3,223,22.8,23.8,0.4261
3,3,238,22.7,22.6,0.4536
3,3,222,26.4,23.2,0.5492
3,3,264,26,27.1,0.5435
3,4,191,14.4,12.5,0.0658
3,3,289,27.3,25.9,0.6284
3,2,173,31.8,30.8,1.0265
3,1,217,60.2,34.4,3.3749
3,2,204,40.5,31.1,1.7356
3,2,206,37.8,38.1,1.697
3,2,241,31.4,31.7,0.8628
3,2,119,29.8,22.6,0.5766
3,2,196,45,32.9,1.9152
3,2,211,33.7,29.9,1.0566
3,2,211,31.6,27.7,0.8741
3,2,216,29.3,28.3,0.8561
3,3,200,33,29,1.0673
3,2,204,42.4,33.2,1.967
3,2,197,28.5,28,0.8632
3,2,235,44,32.6,1.9874
3,2,202,41,29,1.3981
3,2,194,49.3,37.2,2.5501
3,2,215,44.2,31.1,1.8947
3,2,206,46.6,31.7,2.046
3,2,181,34.9,27.7,1.0682
3,3,203,37.8,30.2,1.3386
3,1,204,54.5,33.5,2.9424
3,4,203,32.6,24.1,0.917
3,2,193,30.8,27.1,0.8792
3,2,198,32.7,28,0.961
3,2,208,58.6,29,2.9352
3,2,209,48.1,38.7,2.8622
3,1,209,65.1,40.2,4.981
3,2,201,46.3,39,2.4977
3,2,180,55.8,40.5,4.2699
3,2,199,57.3,36.3,3.3152
3,2,199,67.9,40.2,5.5632
3,2,212,43.9,33.5,2.2701
3,3,224,34,26.2,0.8133
3,2,182,44.3,34.1,2.0309
3,2,194,58.4,36,3.9332
3,2,214,40.1,34.4,1.8438
3,2,226,42.9,35.4,2.2004
3,2,212,33.7,25.9,0.8657
3,1,263,55.8,35.1,3.5936
3,1,327,46.4,33.8,2.2274
3,1,308,57.7,37.2,3.7247
3,2,300,29,25.3,0.7191
3,2,302,35.3,29,1.2119
3,2,297,44.5,29.3,1.7437
3,3,254,30,21.9,0.6756
3,3,190,31.7,27.1,0.8983
3,3,196,32.8,28,0.9419
3,3,196,34.3,27.1,1.0161
3,2,212,38,34.7,1.5489
3,3,201,30.4,28.7,0.846
3,3,213,36.9,29,1.1551
3,3,197,32.4,29.3,1.0696
3,3,218,34.9,24.1,1.0044
3,3,201,28,21.6,0.5567
3,3,235,30,21.6,0.5099
3,3,183,37.1,29.3,1.1618
3,2,215,33.9,31.7,1.1146
3,2,214,40.3,29.6,1.5754
3,3,206,29.5,21.6,0.5621
3,3,212,28.8,16.5,0.3928
3,2,310,50.2,33.5,2.882
3,2,211,41.3,34.1,1.8174
3,2,200,43.6,29.6,1.7087
3,2,192,45.5,33.2,2.1086
3,2,223,39.1,31.7,1.6369
3,1,342,75.3,39.3,6.7522
3,2,221,33.1,31.7,1.1565
3,2,242,39.7,32.9,1.6773
3,2,213,51.2,35.1,2.5591
3,3,243,28.5,22.6,0.6475
3,2,235,28.7,27.7,0.8541
3,2,368,56.3,32.3,3.2332
3,2,265,28.5,26.8,0.7815
3,1,251,60.5,39.3,4.4881
3,2,246,56.5,36.3,3.6688
3,1,258,53.4,36,3.222
3,1,235,53.9,36.6,3.7034
3,1,237,39.7,34.4,1.9605
3,2,227,33.9,32.6,1.3893
3,2,265,52.4,35.7,3.3876
3,2,220,41.3,30.8,1.8852
3,2,260,48,32,2.4957
3,3,265,30,26.5,0.5169
3,3,241,33.4,22.9,0.7507
3,1,234,43.1,32,1.9979
3,2,255,39.1,30.5,1.5221
3,1,238,46.8,31.4,2.3842
3,1,255,52.8,32.9,3.4895
3,3,241,30.8,25.6,0.866
3,2,240,48.6,34.1,2.7813
3,2,160,39.5,33.5,1.56
3,2,430,78.8,46,6.7507
3,2,227,49.4,42.7,3.1284
3,1,336,69.6,39.3,6.6204
3,1,294,61.3,36.3,4.0373
3,1,395,98.6,46.6,12.6833
3,1,295,68.1,41.5,6.3052
3,3,240,32.2,22.9,0.7715
3,1,378,64.6,45.1,6.4861
3,1,263,50.2,36.9,3.1489
3,3,62,32.8,24.7,0.7941
3,1,371,87.6,46.3,10.9787
3,1,331,90.8,46,10.9637
3,2,253,62.7,41.1,5.3318
3,2,259,82.6,44.2,9.1363
3,2,224,57.8,42.7,4.8404
3,2,254,76.7,47.9,8.5573
3,1,278,80.6,48.5,10.3692
3,2,257,57,36.6,4.0931
3,3,277,42.7,31.1,1.8044
3,2,235,61.4,40.8,4.617
3,1,253,83.1,50,10.3772
3,1,242,81.5,49.4,11.5496
3,1,255,97.1,49.7,14.4012
3,2,254,67.1,45.1,6.1592
3,3,195,39.1,32.3,1.5528
3,2,256,74.1,43.6,7.781
3,1,259,79.3,48.5,9.0843
3,1,240,89.8,48.2,11.4045
3,1,282,87.8,48.2,10.7725
3,3,236,28,26.8,0.6514
3,2,265,45.4,36.6,2.2414
3,2,375,81.2,48.2,8.9685
3,1,385,79.9,46,8.5563
3,2,363,75.5,45.4,6.7223
3,2,395,98.8,48.2,13.9148
3,2,367,77.6,43.9,6.7764
3,2,352,60,43.9,5.3404
3,1,308,66,41.1,6.2112
3,2,342,66.5,43.3,6.7183
3,2,285,59.5,38.7,4.534
3,2,263,75.6,44.5,7.5172
3,2,378,83,50.9,12.0721
3,2,282,59.9,44.2,5.3912
3,1,362,83.2,47.2,10.0029
3,2,364,76.4,47.5,9.2291
3,2,261,66.3,40.8,5.7895
3,2,319,64,43.9,5.6165
3,2,366,77.4,43.6,8.1242
3,1,326,67.7,41.5,5.7816
3,1,390,68.9,44.8,7.4662
3,1,373,62.6,42.4,5.4228
3,3,174,38.5,32.3,1.5313
3,3,211,33.1,31.4,1.0864
3,3,220,29,25.3,0.7036
3,2,409,66,43.3,6.568
3,2,231,39.3,35.1,1.8639
3,1,332,66.5,44.5,5.9647
3,3,209,30.7,20.4,0.5585
3,2,192,40.2,33.8,1.6925
3,3,204,29.5,28.3,0.9406
3,2,379,65.5,44.5,6.1544
3,1,379,73.2,47.9,8.2506
3,2,358,61.9,43,5.3474
3,3,271,32.5,26.5,0.8626
3,2,198,39.2,33.5,1.5695
3,2,259,61.7,45.1,5.1057
3,1,380,79.1,49.1,9.8453
3,2,386,89.8,48.2,9.813
3,2,255,42.9,32.9,1.7785
3,2,261,63.8,42.7,5.6692
3,2,230,55.9,37.8,3.4737
3,1,255,80.4,49.1,9.2734
3,1,375,76.5,45.1,8.3602
3,2,357,74.4,43.6,6.4322
3,1,361,94.6,50.3,13.3311
3,1,378,82.5,48.5,10.0961
3,1,399,93.1,45.7,13.171
3,1,375,81.4,47.5,9.592
3,1,352,72.7,44.5,7.522
3,1,383,85.7,47.9,9.7897
3,1,385,88.2,43.3,9.6001
3,1,379,87.5,45.4,13.4485
3,2,222,40.6,36.9,1.9874
3,1,366,80,41.1,9.3194
3,2,250,33.7,31.4,1.1552
3,1,393,95,50.6,13.6094
3,1,392,94,51.8,12.7266
3,2,218,46.1,35.1,2.4248
3,2,185,46.9,35.4,2.5842
3,1,356,78.3,53,9.0341
3,2,205,39.3,35.1,1.9673
3,2,235,45.3,37.8,2.4015
3,2,231,39.8,39.9,2.016
3,2,218,46.1,35.1,2.4248
3,2,244,67,46,6.3846
3,2,237,52.7,43.3,3.6331
3,2,186,29.5,24.4,0.7969
3,2,252,65.2,42.7,5.4518
3,1,440,80.7,45.4,9.1775
3,2,228,48.7,34.1,2.7127
3,2,274,48.8,36.6,2.7567
3,1,332,91.7,45.4,12.5834
3,3,246,33.5,30.8,1.0532
3,3,234,34.9,25.9,1.0127
3,1,408,90.9,44.5,12.6016
3,2,228,50.6,37.5,3.2376
3,2,221,39.5,36,1.91
3,2,236,53.7,40.2,3.6368
3,2,244,45.2,38.7,2.8166
3,2,252,58.5,37.8,3.9303
