clusplot,b1mn,b2mn,b3mn,b4mn,b5mn,b7mn,srmn,ndvimn,tvimn,brightmn,greenmn,wetmn,varimn,vc1mn,vc2mn,X_coordmn,Y_coordmn,tvolha
1,0.177059022,0.133612905,0.089858258,0.446004232,0.162392762,0.080138097,0.202303073,0.663754445,107.8727932,0.462078669,0.193913212,0.096054205,0.950766589,-0.465705566,-0.695214492,532442.8571,5456000,964.1897372
2,0.174349293,0.131785326,0.09063207,0.376480015,0.14339171,0.06795271,0.241175475,0.611480827,105.4249835,0.411984109,0.145035463,0.088887634,0.858405211,-0.447832911,-0.694194781,531667.8571,5458300,526.2251997
3,0.173897671,0.122799728,0.085989196,0.339786678,0.11784585,0.057121256,0.253894013,0.595354197,104.6535466,0.37376531,0.123085683,0.093634572,1.064138946,-0.485233938,-0.713231609,532445.8333,5457529.167,520.3943712
4,0.188349558,0.157371433,0.10688213,0.620780388,0.252331077,0.117709705,0.172465875,0.705887243,109.8116,0.623107464,0.30289784,0.095300838,0.666396376,-0.421920981,-0.681122899,530892.8571,5458300,14.80452969
5,0.186543072,0.157980626,0.108558724,0.542565644,0.258242515,0.125833295,0.200866303,0.66565208,107.9622653,0.583999011,0.244950418,0.062070597,0.618065724,-0.356067046,-0.623677271,531662.5,5459075,240.9896911
6,0.182930101,0.146405958,0.099144006,0.468213356,0.190894341,0.091308034,0.211810459,0.650560695,107.2618978,0.498359237,0.20070135,0.087407748,0.787771432,-0.421298532,-0.674406193,529350,5459067.857,138.1548589
7,0.173897671,0.132394519,0.093211445,0.467086807,0.183610604,0.076076301,0.202720677,0.663689985,107.8612726,0.482929143,0.210641949,0.092180075,0.771061948,-0.436872725,-0.721389011,533220.8333,5458304.167,718.0084884
8,0.171187943,0.128130167,0.088310633,0.344614749,0.13135771,0.064906364,0.256559043,0.591718026,104.4840915,0.385434583,0.124581196,0.084942518,0.91367272,-0.447482924,-0.682973163,533225,5457532.143,605.8559205
9,0.173897671,0.126302588,0.087536821,0.322405624,0.13135771,0.062875466,0.272052242,0.572471314,103.5564956,0.372682822,0.108962996,0.078063363,0.977960161,-0.421473503,-0.674323398,530125,5459067.857,1186.150054
10,0.185188208,0.130871536,0.089858258,0.394826683,0.133891183,0.065921813,0.227820366,0.629102698,106.2558519,0.420190068,0.155589913,0.103017452,1.168035231,-0.493599097,-0.714323311,530125,5458307.143,169.2715064
11,0.173897671,0.127216378,0.089858258,0.376480015,0.137058025,0.068968159,0.238789847,0.614525751,105.5702981,0.407704146,0.145946566,0.091268828,0.893259377,-0.466356362,-0.690982378,532442.8571,5458300,776.0118197
12,0.180747264,0.137724958,0.095017007,0.44455581,0.182132744,0.080815063,0.214242006,0.647308287,107.1092921,0.474725621,0.189461132,0.085991603,0.820757835,-0.419526209,-0.69220561,531670.8333,5456770.833,609.6824866
13,0.180747264,0.143055397,0.096822569,0.549324943,0.210951007,0.095031347,0.177444756,0.69879729,109.4863079,0.550472549,0.262731116,0.09926262,0.789665703,-0.443145188,-0.703569585,531675,5457537.5,457.6629619
14,0.174951455,0.132394519,0.090503102,0.431037213,0.165137359,0.074891611,0.211576792,0.651136117,107.2844138,0.453461111,0.184655969,0.091158095,0.877086155,-0.444838164,-0.703601349,532437.5,5459075,812.2484466
15,0.182327939,0.134526694,0.093211445,0.423151364,0.153314481,0.068968159,0.222730479,0.636288687,106.5866162,0.446791737,0.17510357,0.100643452,0.911191184,-0.467019697,-0.718592364,532450,5456762.5,884.6405722
16,0.168026592,0.12264743,0.083667759,0.41510458,0.14719192,0.066937262,0.204063477,0.661746829,107.7726845,0.427539166,0.180919517,0.095232682,1.020616851,-0.474662111,-0.7212701,533217.8571,5459075,388.9463021
17,0.183908614,0.154782362,0.108558724,0.539185994,0.242724989,0.123463915,0.201772787,0.66430109,107.9012467,0.573262637,0.243176995,0.070606918,0.587127787,-0.378628001,-0.627037245,530887.5,5459075,22.69710553
